sample	Shannon	csp_rel	site	compartment	trip	S	Cl	Na	P
V34PRr3	5.7867637875069775	0.0008165709909473	34	rhizosphere	5	0.002	0.041	0.1	0.097
V35Dr1	6.675862098886921	0.0022701435194841	35	deep	5	0.0	0.073	0.49	0.0
V35PRr1	5.790495942976079	0.0	35	rhizosphere	5	0.098	0.11	0.025	0.083
V35PRr2	5.298764203037326	0.0	35	rhizosphere	5	0.098	0.11	0.025	0.083
V35PRr3R	5.568153296483068	3.7319142107561233e-06	35	rhizosphere	5	0.098	0.11	0.025	0.083
V35PRr3	5.499305220786495	0.0	35	rhizosphere	5	0.098	0.11	0.025	0.083
V37Dr1	6.157807838216229	0.0166942250613644	37	deep	5	0.0	0.0	0.39	0.022
V37PRr2	6.16095043247117	5.968314219807044e-05	37	rhizosphere	5	0.052	0.11	0.21	0.084
V37PRr3	5.426642682205671	0.0001435995623632	37	rhizosphere	5	0.052	0.11	0.21	0.084
V38PRr3	5.622435760178003	0.0280841021240077	38	rhizosphere	5	0.027	0.065	0.18	0.065
V38Sr2	5.675236731956882	0.0093171376423941	38	surface	5	0.042	0.069	0.35	0.04
V39Dr1	6.377208785762782	0.0104192155083113	39	deep	5	0.036	0.0	0.65	0.0
V39Dr3	6.381259347147173	0.0083702980412242	39	deep	5	0.036	0.0	0.65	0.0
V39PRr1	6.331508186272836	0.0038071671053133	39	rhizosphere	5	0.04	0.077	0.05	0.17
V39PRr2	6.705889246349237	0.001461148356775	39	rhizosphere	5	0.04	0.077	0.05	0.17
V39PRr3	6.346537653428623	0.0001735829842386	39	rhizosphere	5	0.04	0.077	0.05	0.17
V39Sr2	6.012398144192285	0.0102789325223835	39	surface	5	0.043	0.041	0.29	0.0
V3PRr1	6.192061167413402	0.0	3	rhizosphere	5	0.0	0.034	0.079	0.049
V3PRr2	5.78678714001404	0.0012012086387953	3	rhizosphere	5	0.0	0.034	0.079	0.049
V3PRr3	6.308918600024946	0.0006627405580443	3	rhizosphere	5	0.0	0.034	0.079	0.049
V40Dr1	6.634486161319593	0.0045051601573871	40	deep	5	0.015	0.1	0.91	0.078
V40PRr1	6.744618390146746	0.0057067892843285	40	rhizosphere	5	0.015	0.12	0.11	0.079
V40PRr2	6.809630393229877	0.004661997368631	40	rhizosphere	5	0.015	0.12	0.11	0.079
V40PRr3	7.068900933430195	0.0039342974395021	40	rhizosphere	5	0.015	0.12	0.11	0.079
V40Sr3	6.488497183461163	0.0010244112895943	40	surface	5	0.06	0.039	0.29	0.11
V41Dr3	2.8981724681058965	0.0	41	deep	5	4.31	2.9	2.2	0.045
