#OTU ID	CTL_Ctrl1_Trip1	CTL_Ctrl2	CTL_Ctrl3	CTL_ExtractionCtrlPro_Trip1	CTL_NTC2	CTL_NegCtrl1_Trip2	CTL_NegCtrl2_Trip2	CTL_PCRCtrl_Trip1	TRIP4_EB1	TRIP4_EB2	TRIP4_EB3	TRIP4_EB4	TRIP4_EB5	TRIP4_SEB
9b8d24b790abe45cbaf58ec57c8493c2	0	0	0	0	0	0	0	0	0	1781	0	0	0	0
cf4800ab3ce04a30b82f5f68276e2d8c	0	0	0	1776	0	0	0	0	0	0	0	0	0	0
5e53017872ab257703623704b7df4458	0	1767	0	0	0	0	0	0	0	0	0	0	0	0
492ca672946f9db4bd76ea8db8c7d03a	0	107	242	0	0	645	750	0	0	0	0	0	0	0
0b4b7335dd63af337af97cd01b5a0723	0	89	1223	25	0	238	161	0	0	0	0	0	0	0
bb7f43f31e7c768e9c2efdaa18ef1f7b	0	1732	0	0	0	0	0	0	0	0	0	0	0	0
9c69c73edc2aac348b9d52af57a2c2a6	0	0	147	0	0	67	0	0	1094	419	0	0	0	0
6213d1481ee6ee33749b8af6e44e2e47	0	0	0	0	0	0	0	0	0	1725	0	0	0	0
4eb774f7fd89be3162fdf6ea3e7d7798	0	0	38	0	0	0	0	0	1634	0	0	0	0	51
58c0cdca4acdbbfe1577d53c1ee4acd9	0	1395	295	0	0	10	13	0	0	0	0	0	0	0
8eecc352de88d4f44e9f33bd6e19d16f	0	0	0	0	0	0	0	0	0	1713	0	0	0	0
c630e0446b2ac41986737996676e748e	0	0	0	327	0	0	0	0	1371	0	0	0	0	8
c4075d8cf55932ca312ff85036a47fa6	0	0	131	0	0	799	774	0	0	0	0	0	0	0
4c8472761aa5178168100b5cd32ade03	0	0	0	0	0	0	0	0	1694	0	0	0	0	0
5beab07d7c19119bfa9313ba6b4c3f38	0	0	0	0	1686	0	0	0	0	0	0	0	0	0
11d34d1f6cd8c11e3ceba4622dac4ed7	0	117	710	403	0	282	173	0	0	0	0	0	0	0
64d0c64e3fa2af39d3ea7dd7c770a5f6	0	0	0	0	0	0	0	0	0	1682	0	0	0	0
e15bb68ba8f109117f9f741a4623bded	0	0	0	0	0	0	0	0	1664	0	0	0	0	0
9a752a6e20dc1cf8a21986555510ea2d	0	0	0	1631	0	0	0	0	0	0	0	0	0	26
aecbaa87dee5a7cb4b783d73428eecb4	0	0	0	0	0	0	0	0	1652	0	0	0	0	0
265e133c6695080cab20c1cca9552694	0	0	0	0	0	0	0	0	0	1641	0	0	0	0
e9429d2d46559c8782014b347d0f2187	0	87	980	0	0	378	193	0	0	0	0	0	0	0
aa960a7613dd04b0dd25f04229a6b90a	0	0	187	0	0	741	700	0	0	0	0	0	0	0
fe01e30b566b4f8823ccedd261c45257	0	0	0	0	0	0	0	0	0	1606	0	0	0	0
b77ced0a2c80c08c5c91bb160f1ccb3c	0	0	0	0	0	0	0	0	0	1571	0	0	0	0
e0cc089653516b48940f2620ce5329df	0	0	0	0	0	0	0	0	0	1570	0	0	0	0
40037e633ad96a1fb8164728f5e17ad9	0	0	1275	0	0	194	97	0	0	0	0	0	0	0
adeb46936452c7a38e2ab8054da5ff40	0	0	0	0	0	0	0	0	1564	0	0	0	0	0
ddc6b8485a137baec25565236c5a422e	0	0	0	145	0	0	0	0	1394	0	0	0	0	21
b7aa1ab2d96f1c8cf8ff08b3a4f88642	0	0	0	85	0	0	0	101	1064	227	0	0	0	76
a85b017bc1b7fdd73cc91f72d5378011	0	0	0	0	0	0	0	0	0	0	0	0	1551	0
1aad9bde3ebd36df6a1e03185f533bfc	0	0	0	0	0	0	0	0	1536	0	0	0	0	0
a7e0696668d565caed36882999958284	0	0	0	0	0	0	0	0	0	1531	0	0	0	0
4b970c58a795b5bc1596317f21e7a4c5	0	1439	46	0	0	19	16	0	0	0	0	0	0	0
bf80d108a4e17ea44d1fadab628fd957	0	106	79	416	0	35	3	63	0	811	0	0	0	0
2b013336a650e9f9fcfc0683f3ce0c88	0	0	0	0	0	0	0	0	0	1501	0	0	0	0
a0611b1c000ba1d3e5a3ce0bfeed9254	0	0	0	1498	0	0	0	0	0	0	0	0	0	0
2b289729e8d05c7e6103b5204129ba01	0	0	0	0	0	0	0	0	0	1495	0	0	0	0
df23bf3e8972f177220f842147802efc	0	0	0	1493	0	0	0	0	0	0	0	0	0	0
00731284bbfada95eb1312052613a033	0	0	0	0	0	0	0	0	1491	0	0	0	0	0
81275ad3d8862172940f1f290435e02e	0	0	0	0	0	0	0	0	0	1489	0	0	0	0
ca41cf98a6126fb35009eb6d04143f38	0	0	0	0	0	0	0	0	1461	0	0	0	0	15
b604ba59c33fe9d84906e4e3fddf33ad	0	0	0	0	0	0	0	0	0	1474	0	0	0	0
bf46b4acf7dde84ec6fe746b98b3a5ac	0	1466	0	0	0	0	0	0	0	0	0	0	0	0
978bedf4abd2023fc22065f532d3dc0e	0	0	0	0	0	0	0	0	0	1464	0	0	0	0
046669177b212e5bd48116a3908d91d3	0	0	0	1462	0	0	0	0	0	0	0	0	0	0
5e690236ea7976dacdc0dd341e099fe9	0	0	0	1462	0	0	0	0	0	0	0	0	0	0
f14e3941f039bfc635a380a3be0efead	0	979	356	0	0	119	0	0	0	0	0	0	0	0
7d07635c19e930198eeb37a8281631c6	0	0	0	0	0	0	0	0	1446	0	0	0	0	5
2868cd8509c32177da43186934676889	0	0	0	0	0	0	0	0	0	1445	0	0	0	0
bb12590daf0e0306dbabdff3ab8af3bd	0	0	0	1424	0	0	0	0	0	0	0	0	0	16
03d3a6f0dd824deeeabe68d62356d997	0	0	0	1414	0	0	0	0	0	0	0	0	0	22
