genus	phylum	n_sites	spearman_rho_route_position	p_value	east_minus_west_mean_clr	east_minus_west_ci_low	east_minus_west_ci_high	mean_clr_west_third	mean_clr_central_third	mean_clr_east_third	q_bh_200	supported_q_lt_0_05	direction	mean_relative_abundance_west_third	mean_relative_abundance_central_third	mean_relative_abundance_east_third
Adhaeribacter	Bacteroidota	60	-0.5664906919	2.381393149e-06	-1.475697934	-1.983656523	-0.9677393438	0.3736362703	0.4616705327	-1.102061663	1.035388326e-05	True	decreases_eastward	0.008606747	0.00933136606	0.003587709957
Gaiella	Actinomycetota	60	-0.5651014171	2.552257513e-06	-1.739516001	-2.361436335	-1.117595666	0.4440606069	0.585312146	-1.295455394	1.069337545e-05	True	decreases_eastward	0.001844605072	0.002011886388	0.0009515706001
Geodermatophilus	Actinomycetota	60	-0.5626007224	2.889011752e-06	-1.292032363	-2.008403395	-0.5756613307	0.7182777628	-0.4619095611	-0.5737546001	1.17918847e-05	True	decreases_eastward	0.01236311342	0.00503277957	0.005866139237
Baekduia	Actinomycetota	60	-0.5413170325	7.972779167e-06	-0.8636244435	-1.330987028	-0.3962618589	0.2847219818	0.09702572242	-0.5789024617	3.066453526e-05	True	decreases_eastward	0.0007383965781	0.0005875371311	0.0006969831163
Actinophytocola	Actinomycetota	60	-0.5353709364	1.045871205e-05	-1.376620382	-1.909110256	-0.8441305089	0.452007152	0.3461078249	-0.9246132303	3.873597054e-05	True	decreases_eastward	0.001360899625	0.0009472017149	0.000315517216
Rubrobacter	Actinomycetota	60	-0.5340928036	1.107959375e-05	-1.717768346	-2.378005411	-1.057531282	0.5109852976	0.4722158158	-1.206783049	4.028943182e-05	True	decreases_eastward	0.01071652813	0.01188296107	0.005000061547
Conexibacter	Actinomycetota	60	-0.5286468463	1.412884476e-05	-1.07671812	-1.61552186	-0.53791438	0.4499594261	-0.05531661877	-0.626758694	5.046015985e-05	True	decreases_eastward	0.0007944400505	0.0005990003016	0.0004710766565
Mycobacterium	Actinomycetota	60	-0.5195887747	2.097659702e-05	-1.128244751	-1.769082718	-0.4874067831	0.5204978758	-0.1271325832	-0.6077468749	7.233309316e-05	True	decreases_eastward	0.002360627308	0.00102396593	0.0009191163776
Segetibacter	Bacteroidota	60	-0.5148652403	2.566306688e-05	-1.465534103	-2.114714083	-0.8163541237	0.3695612437	0.4106990769	-1.09597286	8.699344707e-05	True	decreases_eastward	0.002969364356	0.002890798589	0.001538230471
Rufibacter	Bacteroidota	60	-0.482522923	9.449779701e-05	-1.184726095	-1.772276171	-0.5971760195	0.500777673	-0.05707941341	-0.6839484223	0.0002907624523	True	decreases_eastward	0.0007207605677	0.0005673646935	0.0003087985023
