library	campaign	site	position	recruited_pct	coxL_CO_dehydrogenase	NiFe_hydrogenase_large	rbcL_RuBisCO	psbA_photosystem_II	nifH_nitrogenase	amoA_pmoA_ammonia_monooxygenase	nirK_nirS_nitrite_reductase	nosZ_N2O_reductase	ureC_urease	otsA_otsB_trehalose	treY_treZ_trehalose	ectABC_ectoine	crtB_phytoene_synthase	spo0A_sporulation	phrB_photolyase	uvrA_excision_repair	recA_recombination_repair	katE_katG_catalase	sodA_superoxide_dismutase	dps_DNA_protection
F15Dr3	3	15	Deep	25.69157653	0.3502513294	0.4137026481	0.3317752539	0.000673772393	0	0.1037683377	0.3193429199	0.01651293989	0.1831291907	0.9118341854	0.8414083238	0.1935042261	0.5206266961	0.04047407926	0.2436428361	0.9323072503	0.9357379026	0.7562246398	0.510785693	0.4032104674
F15Sr2	3	15	Surface	28.52152288	0.3891023587	0.138151459	0.1337317477	0.0003737640182	0	0.01230786982	0.1747280402	0.0024907227	0.2373117181	0.8971628098	0.7872843064	0.1742649374	0.5620340562	0.06846112405	0.3564318431	0.9645920627	0.9275811587	0.8822995896	0.685261225	0.5051474766
F16Dr2	3	16	Deep	28.19063002	0.6373536016	0.3285840203	0.1408385585	0	0	0.1298677438	0.4300840957	0.05189865646	0.2533231605	0.9220906123	0.9062629395	0.4468011692	0.5429917524	0.05811139196	0.09693564747	0.9101248644	0.9185455583	0.7469148482	0.4424950676	0.4507358751
F17PRr3	3	17	Rhizosphere	35.74866958	0.4361516475	0.07479911146	0.1684498576	0.0005958924696	0.0001005111167	0.0436795661	0.2109432753	0.01638809984	0.2913924394	0.8675661816	0.8473116399	0.3280696976	0.4954198058	0.02509479105	0.2175683715	0.9587263972	0.9171929348	0.8520929973	0.7602200045	0.750281805
F19PRr1	3	19	Rhizosphere	39.66659082	0.3766689671	0.05562210433	0.175347463	0	0.003498131983	0.001097845973	0.1038829623	0.0247764715	0.3838917561	0.7953484028	0.749897421	0.2135408346	0.635333408	0.1166235779	0.2939200232	0.9595482616	0.9349843272	0.8970830274	0.9188132527	0.8245860947
F1Dr1	3	1	Deep	12.52985589	0.4848963163	0.4467682816	0.1968998947	0.001201088913	0.006156667782	0.02952514675	0.5877406632	0.02152044595	0.1848448026	0.9661208826	0.7017751173	0.2744083354	0.4152617097	0.04561365953	0.0688618759	0.8957430029	0.9654219176	0.6216485301	0.7513849189	0.2075471629
F1PRr3	3	1	Rhizosphere	27.28950487	0.572067661	0.2009790836	0.1968981978	0.001684975679	0.0008043388111	0.01224051162	0.2231371545	0.01081075233	0.4237597532	0.9310138856	0.8496685716	0.3215720908	0.537630013	0.04895695031	0.2509642436	0.9429254975	0.9606181687	0.8980920689	0.7869683738	0.5674311476
F1Sr1	3	1	Surface	18.26618202	0.5595608656	0.2978924854	0.1245401863	0.001151470952	0.004210268457	0.02287756673	0.4555744043	0.01436215476	0.2422125438	0.9612110868	0.8437526695	0.1788466139	0.6286792331	0.02695886901	0.2445101207	0.9067124807	0.9542353427	0.8580340914	0.5490510519	0.3450406105
F21Dr3	3	21	Deep	20.6101757	0.541699419	0.6786719577	0.4978673252	0.001100374123	0	0.04635147216	0.4947617909	0.01713303002	0.1237171038	0.9660305457	0.8658091131	0.2355998385	0.5138908443	0.05729071234	0.07450662028	0.8111189862	0.9531379276	0.6238389861	0.5933150545	0.2789455727
F21PRr1	3	21	Rhizosphere	35.91091001	0.475683432	0.1418456261	0.1378848287	0.0006182898176	0	0.0107612396	0.2272644622	0.09750106812	0.4613726202	0.9562775692	0.8288074838	0.3507472968	0.8708068982	0.01964963775	0.309112127	0.9311647763	0.9047217736	0.8600722069	0.8355073817	0.7119067626
F21Sr2	3	21	Surface	37.75903253	0.511789784	0.05635143952	0.09144264881	0.000156059552	0.0004934393905	0.005941516836	0.2680455755	0.02471594947	0.2821812213	0.963721144	0.7534829918	0.2023993406	0.6363832954	0.004245001639	0.410627197	0.8115108228	0.879876101	0.9378415602	0.5746676503	0.7180379897
F22PRr2	3	22	Rhizosphere	28.005628	0.3563775872	0.3074225983	0.2139774713	0.0005875290853	0.0008566828782	0.02171896325	0.6546293506	0.01442143588	0.2317583964	0.736435295	0.7715721657	0.2108691154	0.357388515	0.01410096571	0.1004959844	0.9711379927	0.961139232	0.594939412	0.7055679679	0.2535806486
F23PRr1	3	23	Rhizosphere	29.68023451	0.3251233231	0.1197445274	0.1516020461	0.0006879284593	0	0.001392795818	0.2103482999	0.002392934239	0.3049155522	0.801924585	0.9010860949	0.1844281503	0.5003316769	0.04372740596	0.1500871994	0.9185401442	0.9158473263	0.8107653173	0.8113969478	0.7290274336
F24PRr1	3	24	Rhizosphere	24.61851363	0.552125647	0.32735967	0.1426631302	0.003536050808	0	0.08527493986	0.3917762703	0.01015014879	0.1569846728	0.8412834844	0.7667829751	0.3513514579	0.3319603907	0.08686616198	0.1121703225	0.8658104842	0.9133643559	0.677097468	0.6307418877	0.4299036626
F25Dr2	3	25	Deep	23.97988674	0.3492382244	0.4843671517	0.3893744708	0.00249128491	0	0.1468409853	0.4638467617	0.01419799662	0.1736168165	0.9281044154	0.8302892601	0.1779419944	0.3338260435	0.0392803142	0.1551578432	0.875856529	0.9047607657	0.7140249805	0.6434606225	0.4600188758
F25PRr3	3	25	Rhizosphere	36.65280978	0.2005950221	0.02008713241	0.09117646024	0.001085931153	0.0004583473846	0.001785134902	0.06442152941	0.003444420874	0.3632298884	0.7753755543	0.6708305421	0.168266914	0.5496764407	0.1617197942	0.3903157492	0.9773222823	0.9107010958	0.896761096	0.905715615	0.8520062884
