run_accession	sample_accession	sample_title	library_name	instrument_model	read_count	base_count	lat	lon	country	fastq_ftp	fastq_bytes	desert	bioproject
SRR5839320	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	44771	12361176	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5839320/SRR5839320.fastq.gz	4127525	Gurbantunggut	PRJNA376617
SRR5839324	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	33877	9353115	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839324/SRR5839324.fastq.gz	3183978	Gurbantunggut	PRJNA376617
SRR5839326	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	30097	8309347	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5839326/SRR5839326.fastq.gz	2748469	Gurbantunggut	PRJNA376617
SRR5839328	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	38819	10718607	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5839328/SRR5839328.fastq.gz	3635296	Gurbantunggut	PRJNA376617
SRR5839334	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	31776	8776523	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839334/SRR5839334.fastq.gz	3085161	Gurbantunggut	PRJNA376617
SRR5839335	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	40933	11304905	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839335/SRR5839335.fastq.gz	3707791	Gurbantunggut	PRJNA376617
SRR5839336	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	31354	8661975	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5839336/SRR5839336.fastq.gz	2935318	Gurbantunggut	PRJNA376617
SRR5839339	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	34863	9627026	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5839339/SRR5839339.fastq.gz	3295139	Gurbantunggut	PRJNA376617
SRR5839343	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	33897	9363034	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839343/SRR5839343.fastq.gz	3178271	Gurbantunggut	PRJNA376617
SRR5839348	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	31700	8753394	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5839348/SRR5839348.fastq.gz	3122605	Gurbantunggut	PRJNA376617
SRR5839350	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	36507	10078789	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5839350/SRR5839350.fastq.gz	3490201	Gurbantunggut	PRJNA376617
SRR5839352	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	31261	8633177	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5839352/SRR5839352.fastq.gz	2835766	Gurbantunggut	PRJNA376617
