profile_id	site	position	extraction_blank	reads_before	reads_after	removed_read_fraction	richness_before	richness_after	richness_change	shannon_before	shannon_after	shannon_change
V5PRr3	V5	Rhizosphere	EB14	428929	410084	0.04393501022	5006	4948	-58	7.032627175	7.032223987	-0.0004031879185
V5Sr1	V5	Surface	EB1	839544	838999	0.000649161926	4248	4236	-12	6.42890717	6.426141835	-0.002765334995
V5Sr3	V5	Surface	EB14	767122	764269	0.003719095528	8225	8211	-14	7.356730952	7.352984112	-0.003746839427
V60PRr1	V60	Rhizosphere	EB1	913004	912877	0.0001391012526	1743	1740	-3	4.853081727	4.852253277	-0.0008284494886
V60PRr2	V60	Rhizosphere	EB11	517113	512010	0.009868249299	2651	2639	-12	6.063978496	6.049076521	-0.01490197568
V6Dr1	V6	Deep	EB5	937702	934213	0.003720798292	5771	5756	-15	7.550144619	7.54621507	-0.00392954857
V6PRr1	V6	Rhizosphere	EB5	471496	470539	0.00202970969	4981	4977	-4	6.585400834	6.582191556	-0.003209278139
V6PRr2	V6	Rhizosphere	EB7	614832	613359	0.002395776407	5553	5545	-8	6.51604663	6.511590278	-0.004456351475
V6PRr3	V6	Rhizosphere	EB7	372065	371945	0.0003225242901	3113	3111	-2	5.654082143	5.652779518	-0.001302625465
V6Sr1	V6	Surface	EB5	868758	868311	0.000514527636	4403	4397	-6	6.542102822	6.540199264	-0.001903557832
V6Sr3	V6	Surface	EB7	935390	934674	0.0007654561199	3025	3018	-7	6.568597843	6.566241121	-0.002356721517
V7Dr3	V7	Deep	EB7	139645	138665	0.007017795123	1199	1188	-11	5.876939101	5.863287996	-0.01365110472
V7PRr1	V7	Rhizosphere	EB1	639871	554034	0.1341473516	2585	2541	-44	6.332319356	6.417320666	0.08500130984
V7PRr2	V7	Rhizosphere	EB7	396490	335615	0.1535347676	3172	3129	-43	5.615607906	5.578891049	-0.03671685633
V7PRr3	V7	Rhizosphere	EB7	1054326	868794	0.1759721377	3323	3285	-38	5.357549565	5.351551609	-0.005997956237
V8Dr3	V8	Deep	EB9	687547	684253	0.004790945201	4731	4710	-21	7.30882574	7.300344298	-0.008481441736
V8PRr1	V8	Rhizosphere	EB3	1108103	1105676	0.002190229609	6790	6776	-14	6.781924807	6.779009129	-0.00291567763
V8PRr2	V8	Rhizosphere	EB9	795344	793746	0.002009193506	5258	5251	-7	6.514009231	6.511523699	-0.002485532504
V8PRr3	V8	Rhizosphere	EB9	484110	483667	0.0009150812832	3733	3730	-3	6.293547392	6.291761422	-0.00178597063
V9PRr1	V9	Rhizosphere	EB3	421307	420950	0.0008473630868	4249	4243	-6	6.530036203	6.527262065	-0.002774138311
V9PRr2	V9	Rhizosphere	EB9	452332	451358	0.00215328564	3665	3661	-4	6.316954156	6.314927204	-0.002026952152
V9PRr3	V9	Rhizosphere	EB9	662418	662017	0.0006053579462	5329	5321	-8	6.89498084	6.893120176	-0.001860663453
