contrast	first_compartment	second_compartment	genus	phylum	n_sites	n_blocks	mean_clr_difference	ci_low	ci_high	sign_flip_p	committed_loading	q_bh_600	supported_q_lt_0_05	higher_in
Deep-Surface	shallow_subsurface	surface	JCM 18997	Actinomycetota	60	183	0.2820786708	-0.07960957887	0.6391229492	0.1355	0.2820786708	0.1973300971	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Streptococcus	Bacillota	60	183	0.2840207971	-0.1933523181	0.7143434365	0.2424	0.2840207971	0.3201758242	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Acidibacter	Pseudomonadota	60	183	0.285741904	-0.03751445704	0.6119897068	0.0987	0.285741904	0.155026178	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Chthoniobacter	Verrucomicrobiota	60	183	0.2872524306	-0.03432851343	0.6083551831	0.0833	0.2872524306	0.13328	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Tautonia	Planctomycetota	60	183	0.2907786861	-0.1341219574	0.7105257118	0.1753	0.2907786861	0.2423502304	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Anaeromyxobacter	Myxococcota	60	183	0.2908006798	0.02663231947	0.5724133192	0.0406	0.2908006798	0.07684542587	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Pseudonocardia	Actinomycetota	60	183	0.2909523382	-0.05996455575	0.6618570301	0.1204	0.2909523382	0.1788118812	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	CSP1-2	Dadabacteria	60	183	0.2976230548	-0.05504470333	0.6694462828	0.1279	0.2976230548	0.1888452088	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Abditibacterium	Abditibacteriota	60	183	0.2977730117	-0.03993592633	0.6375538615	0.1084	0.2977730117	0.1680620155	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Pseudalkalibacillus	Bacillota	60	183	0.3057369497	-0.08133356681	0.6917443313	0.1186	0.3057369497	0.1770149254	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Solirubrobacter	Actinomycetota	60	183	0.3089545946	0.01388644969	0.604078833	0.0519	0.3089545946	0.09105263158	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Phaselicystis	Myxococcota	60	183	0.3130939603	-0.08502081403	0.6887243854	0.1114	0.3130939603	0.1718251928	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Amycolatopsis	Actinomycetota	60	183	0.3136901769	-0.07901010617	0.6952065726	0.1281	0.3136901769	0.1888452088	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Steroidobacter	Pseudomonadota	60	183	0.3247873704	-0.003545686109	0.6718407755	0.0675	0.3247873704	0.111878453	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Symbiobacterium	Bacillota	60	183	0.3290535775	-0.0356465337	0.6899133314	0.0734	0.3290535775	0.119673913	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Paenibacillus	Bacillota	60	183	0.3406665713	0.01464123808	0.6461586774	0.0453	0.3406665713	0.08204819277	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Herpetosiphon	Chloroflexota	60	183	0.3408268173	-0.01546561881	0.7366453907	0.0859	0.3408268173	0.1370744681	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	[Polyangium] brachysporum group	Pseudomonadota	60	183	0.3465039731	-0.05492704497	0.7514068431	0.1051	0.3465039731	0.16421875	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Ectobacillus	Bacillota	60	183	0.3578976903	0.02882146515	0.696532106	0.0441	0.3578976903	0.08067073171	False	shallow_subsurface
