genus	phylum	n_sites	spearman_rho_elemental_axis	p_value	q_bh_200	supported_q_lt_0_05
MND1	Pseudomonadota	60	-0.4595165324	0.0002212934002	0.0007764680707	True
Opitutus	Verrucomicrobiota	60	-0.4561822729	0.0002491087394	0.0008589956531	True
JCM 18997	Actinomycetota	60	-0.4514587385	0.0002939949114	0.0009965929198	True
Bryobacter	Acidobacteriota	60	-0.4457349264	0.000358213582	0.001194045273	True
Rubritepida	Pseudomonadota	60	-0.4350097249	0.0005139499403	0.001667077075	True
Ramlibacter	Pseudomonadota	60	-0.4348430119	0.0005167938934	0.001667077075	True
Deinococcus	Deinococcota	60	-0.4256737983	0.0006970456151	0.002178267547	True
Adhaeribacter	Bacteroidota	60	-0.4240622395	0.0007340491927	0.002258612901	True
Flavisolibacter	Bacteroidota	60	-0.4227285357	0.0007660063357	0.00232123132	True
Fimbriiglobus	Planctomycetota	60	-0.4218393998	0.0007880042416	0.002352251467	True
Abditibacterium	Abditibacteriota	60	-0.420561267	0.0008206269223	0.002413608595	True
Chthoniobacter	Verrucomicrobiota	60	-0.4176160044	0.0009004928004	0.002610124059	True
Saccharopolyspora	Actinomycetota	60	-0.4143373159	0.0009975961832	0.002810130094	True
Lautropia	Pseudomonadota	60	-0.4133370381	0.001029045409	0.00285845947	True
Geodermatophilus	Actinomycetota	60	-0.4108363434	0.001111613031	0.003045515154	True
Herpetosiphon	Chloroflexota	60	-0.406835232	0.001256181209	0.00339508435	True
Blastococcus	Actinomycetota	60	-0.4062795221	0.001277543472	0.003406782592	True
Daejeonella	Bacteroidota	60	-0.4052236732	0.001319033337	0.003471140361	True
Herbaspirillum	Pseudomonadota	60	-0.4009447069	0.001499851357	0.003895717811	True
Actinoplanes	Actinomycetota	60	-0.3939983329	0.001841080157	0.004660962422	True
[Polyangium] brachysporum group	Pseudomonadota	60	-0.3876632398	0.00221116145	0.005527903626	True
Cnuella	Bacteroidota	60	-0.3836065574	0.00248169941	0.006127652864	True
Anaeromyxobacter	Myxococcota	60	-0.3814948597	0.00263388162	0.006424101512	True
Nordella	Pseudomonadota	60	-0.3749374826	0.003160758428	0.007505618238	True
Nocardioides	Actinomycetota	60	-0.3748819116	0.00316559686	0.007505618238	True
